home_team_rank,away_team_rank,home_team_form,away_team_form,home_goal_diff,away_goal_diff,tournament_importance,is_neutral,h2h_points_diff,goal_diff,result
28.0,2.0,4,12,-0.6,2.2,4,1,0,-1,2
8.0,29.0,10,6,1.4,0.2,4,1,0,-2,2
31.0,11.0,1,9,-3.0,1.0,4,1,0,-2,2
148.0,161.0,0,0,0.0,0.0,1,0,0,-1,2
1.0,27.0,10,9,1.0,0.4,4,1,0,1,1
5.0,12.0,10,7,0.6,0.4,4,1,0,3,1
7.0,8.0,8,10,0.4,1.2,4,1,0,1,1
34.0,10.0,9,9,0.2,0.8,4,1,0,-2,2
2.0,14.0,12,7,2.0,0.0,4,1,-3,2,1
16.0,29.0,8,8,0.6,0.6,4,1,1,0,0
11.0,4.0,12,10,1.8,0.4,4,1,0,-1,2
155.0,168.0,0,0,-2.0,-2.0,2,0,0,4,1
155.0,97.0,3,7,0.0,0.0,2,0,3,1,1
52.0,26.0,3,11,-0.75,0.6,1,0,0,1,1
168.0,97.0,0,7,-3.0,0.0,2,1,-3,-2,2
4.0,5.0,10,13,0.4,1.6,4,1,0,1,1
2.0,3.0,12,13,1.2,3.0,4,1,0,-1,2
29.0,1.0,8,13,0.6,1.6,4,1,0,1,1
7.0,10.0,8,9,0.0,0.8,4,1,1,0,0
29.0,4.0,10,10,0.8,0.4,4,1,0,-1,2
10.0,3.0,9,13,0.8,2.0,4,1,-1,-1,2
52.0,26.0,6,8,-0.4,0.2,1,0,3,1,1
159.0,72.0,0,4,0.0,-0.6,1,0,0,1,1
10.0,29.0,8,10,0.6,1.2,4,1,-1,4,1
3.0,4.0,13,13,1.4,0.8,4,1,0,0,0
126.0,72.0,3,3,-1.0,-0.8,1,0,0,0,0
84.0,111.0,1,3,-2.0,-1.6,1,0,0,3,1
111.0,86.0,0,3,-2.6,-0.6666666666666666,1,1,0,-2,2
84.0,86.0,4,6,-1.0,0.0,1,0,0,1,1
119.0,81.0,0,1,-2.0,-2.3333333333333335,1,1,0,0,0
42.0,111.0,6,0,-1.0,-2.4,1,0,0,4,1
76.0,122.0,3,0,0.0,0.0,1,0,0,1,1
43.0,69.0,6,4,0.2,-0.6,1,0,-3,0,0
37.0,19.0,5,9,-0.8,0.6,1,0,0,-3,2
12.0,45.0,6,5,0.0,-0.2,1,0,0,1,1
16.0,44.0,12,6,1.2,0.3333333333333333,1,0,0,0,0
52.0,90.0,5,5,-0.8,-0.25,1,0,0,-4,2
72.0,46.0,2,4,-0.6,-0.6,1,0,0,2,1
32.0,142.0,8,0,0.2,-2.0,1,0,0,0,0
3.0,84.0,8,7,1.0,0.0,1,0,0,2,1
26.0,50.0,8,8,0.8,-0.2,1,0,-3,1,1
26.0,50.0,8,7,0.8,-0.4,1,0,0,-1,2
100.0,76.0,2,6,0.0,0.3333333333333333,1,0,0,0,0
26.0,28.0,7,7,0.6,0.0,1,0,2,2,1
28.0,21.0,6,10,-0.4,1.0,1,1,0,1,1
161.0,148.0,3,0,1.0,-1.0,1,0,-3,-1,2
79.0,59.0,4,1,0.0,-1.2,1,1,0,0,0
26.0,21.0,7,7,0.2,0.6,1,0,0,-4,2
42.0,59.0,6,2,-0.4,-0.8,1,0,0,1,1
155.0,94.0,6,7,0.25,0.0,1,0,6,1,1
56.0,150.0,5,4,-0.2,-1.0,2,0,3,0,0
99.0,104.0,3,0,0.0,-1.0,2,0,3,4,1
123.0,161.0,3,3,1.0,0.0,2,0,0,2,1
148.0,61.0,3,1,0.0,-1.0,2,0,0,-1,2
100.0,30.0,3,1,0.0,-1.0,2,0,0,1,1
111.0,90.0,0,8,-2.4,0.6,3,0,0,-2,2
114.0,48.0,0,1,0.0,0.0,2,0,0,0,0
28.0,65.0,6,8,-0.4,0.6,2,0,-3,3,1
52.0,32.0,4,8,-1.6,0.2,3,0,0,1,1
136.0,122.0,0,0,0.0,-1.0,2,0,0,1,1
50.0,109.0,9,0,-0.2,0.0,2,0,0,1,1
132.0,26.0,0,6,0.0,-0.6,2,0,0,0,0
44.0,69.0,7,2,0.25,-0.8,3,0,0,5,1
136.0,122.0,3,0,1.0,-1.0,1,0,3,0,0
11.0,59.0,4,2,-0.6,-0.8,1,0,0,1,1
